"firstname"
"Intergovernmental Panel on Climate Change (IPCC)"
"Albert Arnold (Al)"
"Leonid"
"Eric S."
"Roger B."
"John C."
"George F."
"Roger D."
"Andrew Z."
"Craig C."
"Orhan"
"Muhammad"
"Grameen Bank"
"Edmund S."
"Roy J."
"John L."
"Theodor W."
"Yves"
"Robert H."
"Richard R."
"Barry J."
"J. Robin"
"Harold"
"International Atomic Energy Agency (IAEA)"
"Mohamed"
"Robert J."
"Thomas C."
"David J."
"H. David"
"Frank"
"Aaron"
"Avram"
"Irwin"
"Richard"
"Linda B."
"Elfriede"
"Wangari Muta"
"Finn E."
"Edward C."
"Alexei A."
"Vitaly L."
"Anthony J."
"Peter"
"Roderick"
"Paul C."
"Sir Peter"
"John M."
"Shirin"
"Robert F."
"Clive W.J."
"Raymond"
"Masatoshi"
"Riccardo"
"John B."
"Koichi"
"Kurt"
"Sydney"
"H. Robert"
"John E."
"Imre"
"Jimmy"
"Daniel"
"Vernon L."
"Eric A."
"Wolfgang"
"Carl E."
"William S."
"Ryoji"
"K. Barry"
"Leland H."
"Tim"
"Sir Paul M."
"Sir Vidiadhar Surajprasad"
"United Nations (U.N.)"
"Kofi"
"George A."
"A. Michael"
"Joseph E."
"Zhores I."
"Herbert"
"Jack S."
"Alan J."
"Alan G."
"Hideki"
"Arvid"
"Paul"
"Eric R."
"Gao"
"Kim"
"James J."
"Daniel L."
"Gerardus"
"Martinus J.G."
"Ahmed H."
"Günter"
"Günter"
"Médecins Sans Frontières"
"Robert A."
"Robert B."
"Horst L."
"Daniel C."
"Walter"
"John A."
"Robert F."
"Louis J."
"Ferid"
"José"
"John"
"David"
"Amartya"
"Steven"
"Claude"
"William D."
"Paul D."
"John E."
"Jens C."
"Stanley B."
"Dario"
"International Campaign to Ban Landmines (ICBL)"
"Jody"
"Robert C."
"Myron S."
"David M."
"Douglas D."
"Robert C."
"Robert F."
"Sir Harold W."
"Richard E."
"Peter C."
"Rolf M."
"Wislawa"
"Carlos Filipe Ximenes"
"José"
"James A."
"William"
"Martin L."
"Frederick"
"Paul J."
"Mario J."
"F. Sherwood"
"Edward B."
"Christiane"
"Eric F."
"Seamus"
"Joseph"
"Pugwash Conferences on Science and World Affairs"
"Robert E."
"Bertram N."
"Clifford G."
"George A."
"Alfred G."
"Martin"
"Kenzaburo"
"Yasser"
"Shimon"
"Yitzhak"
"John C."
"John F."
"Reinhard"
"Russell A."
"Joseph H."
"Kary B."
"Michael"
"Richard J."
"Phillip A."
"Toni"
"Nelson"
"Frederik Willem"
"Robert W."
"Douglass C."
"Georges"
"Rudolph A."
"Edmond H."
"Edwin G."
"Derek"
"Rigoberta"
"Gary S."
"Pierre-Gilles"
"Richard R."
"Erwin"
"Bert"
"Nadine"
"Aung San Suu Kyi"
"Ronald H."
"Jerome I."
"Henry W."
"Richard E."
"Elias James"
"Joseph E."
"E. Donnall"
"Octavio"
"Mikhail Sergeyevich"
"Harry M."
"Merton H."
"William F."
"Norman F."
"Hans G."
"Wolfgang"
"Sidney"
"Thomas R."
"J. Michael"
"Harold E."
"Camilo José"
"The 14th Dalai Lama (Tenzin Gyatso)"
"Trygve"
"Leon M."
"Melvin"
"Jack"
"Johann"
"Robert"
"Hartmut"
"Sir James W."
"Gertrude B."
"George H."
"Naguib"
"United Nations Peacekeeping Forces"
"Maurice"
"J. Georg"
"K. Alexander"
"Donald J."
"Jean-Marie"
"Charles J."
"Susumu"
"Joseph"
"Oscar"
"Robert M."
"Ernst"
"Gerd"
"Heinrich"
"Dudley R."
"Yuan T."
"John C."
"Stanley"
"Rita"
"Wole"
"Elie"
"James M."
"Klaus"
"Herbert A."
"Jerome"
"Michael S."
"Joseph L."
"Claude"
"International Physicians for the Prevention of Nuclear War"
"Franco"
"Carlo"
"Simon"
"Robert Bruce"
"Niels K."
"Georges J.F."
"César"
"Jaroslav"
"Desmond Mpilo"
"Richard"
"Subramanyan"
"William Alfred"
"Henry"
"Barbara"
"William"
"Lech"
"Gerard"
"Kenneth G."
"Aaron"
"Sune K."
"Bengt I."
"John R."
"Gabriel"
"Alva"
"Alfonso"
"George J."
"Nicolaas"
"Arthur Leonard"
"Kai M."
"Kenichi"
"Roald"
"Roger W."
"David H."
"Torsten N."
"Elias"
"Office of the United Nations High Commissioner for Refugees (UNHCR)"
"James"
"James Watson"
"Val Logsdon"
"Paul"
"Walter"
"Frederick"
"Baruj"
"Jean"
"George D."
"Czeslaw"
"Adolfo"
"Lawrence R."
"Sheldon Lee"
"Abdus"
"Steven"
"Herbert C."
"Georg"
"Allan M."
"Godfrey N."
"Odysseus"
"Mother Teresa"
"Theodore W."
"Sir Arthur"
"Pyotr Leonidovich"
"Arno Allan"
"Robert Woodrow"
"Peter D."
"Werner"
"Daniel"
"Hamilton O."
"Isaac Bashevis"
"Mohamed Anwar"
"Menachem"
"Herbert A."
"Philip Warren"
"Sir Nevill Francis"
"John Hasbrouck"
"Ilya"
"Roger"
"Andrew V."
"Rosalyn"
"Vicente"
"Amnesty International"
"Bertil"
"James E."
"Burton"
"Samuel Chao Chung"
"William N."
"Baruch S."
"D. Carleton"
"Saul"
"Betty"
"Mairead"
"Milton"
"Aage Niels"
"Ben Roy"
"Leo James"
"John Warcup"
"Vladimir"
"David"
"Renato"
"Howard Martin"
"Eugenio"
"Andrei Dmitrievich"
"Leonid Vitaliyevich"
"Tjalling C."
"Sir Martin"
"Antony"
"Paul J."
"Albert"
"Christian"
"George E."
"Eyvind"
"Harry"
"Seán"
"Eisaku"
"Gunnar"
"Friedrich August"
"Leo"
"Ivar"
"Brian David"
"Ernst Otto"
"Geoffrey"
"Karl"
"Konrad"
"Nikolaas"
"Patrick"
"Henry A."
"Le Duc Tho"
"Wassily"
"John"
"Leon Neil"
"John Robert"
"Christian B."
"Stanford"
"William H."
"Gerald M."
"Rodney R."
"Heinrich"
"John R."
"Kenneth J."
"Dennis"
"Gerhard"
"Earl W."
"Pablo"
"Willy"
"Simon"
"Hannes Olof Gösta"
"Louis Eugène Félix"
"Luis F."
"Sir Bernard"
"Ulf"
"Julius"
"Aleksandr Isayevich"
"Norman E."
"Paul A."
"Murray"
"Derek H. R."
"Odd"
"Max"
"Alfred D."
"Salvador E."
"Samuel"
"International Labour Organization (I.L.O.)"
"Ragnar"
"Jan"
"Luis Walter"
"Lars"
"Robert W."
"Har Gobind"
"Marshall W."
"Yasunari"
"René"
"Hans Albrecht"
"Manfred"
"Ronald George Wreyford"
"George"
"Ragnar"
"Haldan Keffer"
"George"
"Miguel Angel"
"Alfred"
"Robert S."
"Peyton"
"Charles Brenton"
"Shmuel Yosef"
"Nelly"
"Sin-Itiro"
"Julian"
"Richard P."
"Robert Burns"
"François"
"André"
"Jacques"
"Mikhail Aleksandrovich"
"United Nations Children's Fund (UNICEF)"
"Charles Hard"
"Nicolay Gennadiyevich"
"Aleksandr Mikhailovich"
"Dorothy Crowfoot"
"Konrad"
"Feodor"
"Jean-Paul"
"Martin Luther"
"Eugene Paul"
"Maria"
"J. Hans D."
"Karl"
"Giulio"
"Sir John Carew"
"Alan Lloyd"
"Andrew Fielding"
"Giorgos"
"Comité international de la Croix Rouge (International Committee of the Red Cross)"
"Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies)"
"Lev Davidovich"
"Max Ferdinand"
"John Cowdery"
"Francis Harry Compton"
"James Dewey"
"Maurice Hugh Frederick"
"John"
"Linus Carl"
"Robert"
"Rudolf Ludwig"
"Melvin"
"Georg"
"Ivo"
"Dag Hjalmar Agne Carl"
"Donald Arthur"
"Willard Frank"
"Sir Frank Macfarlane"
"Peter Brian"
"Saint-John"
"Albert John"
"Emilio Gino"
"Owen"
"Jaroslav"
"Severo"
"Arthur"
"Salvatore"
"Philip J."
"Pavel Alekseyevich"
"Il´ja Mikhailovich"
"Igor Yevgenyevich"
"Frederick"
"George Wells"
"Edward Lawrie"
"Joshua"
"Boris Leonidovich"
"Georges"
"Chen Ning"
"Tsung-Dao (T.D.)"
"Lord (Alexander R.)"
"Daniel"
"Albert"
"Lester Bowles"
"William Bradford"
"John"
"Walter Houser"
"Sir Cyril Norman"
"Nikolay Nikolaevich"
"André Frédéric"
"Werner"
"Dickinson W."
"Juan Ramón"
"Willis Eugene"
"Polykarp"
"Vincent"
"Axel Hugo Theodor"
"Halldór Kiljan"
"Max"
"Walther"
"Linus Carl"
"John Franklin"
"Thomas Huckle"
"Frederick Chapman"
"Ernest Miller"
"Office of the United Nations High Commissioner for Refugees (UNHCR)"
"Frits"
"Hermann"
"Hans Adolf"
"Fritz Albert"
"Sir Winston Leonard Spencer"
"George Catlett"
"Felix"
"Edward Mills"
"Archer John Porter"
"Richard Laurence Millington"
"Selman Abraham"
"François"
"Albert"
"Sir John Douglas"
"Ernest Thomas Sinton"
"Edwin Mattison"
"Glenn Theodore"
"Max"
"Pär Fabian"
"Léon"
"Cecil Frank"
"Otto Paul Hermann"
"Kurt"
"Edward Calvin"
"Tadeus"
"Philip Showalter"
"Earl (Bertrand Arthur William)"
"Ralph"
"Hideki"
"William Francis"
"Walter Rudolf"
"Antonio Caetano de Abreu Freire Egas"
"William"
"Lord (John)"
"Patrick Maynard Stuart"
"Arne Wilhelm Kaurin"
"Paul Hermann"
"Thomas Stearns"
"Sir Edward Victor"
"Sir Robert"
"Carl Ferdinand"
"Gerty Theresa"
"Bernardo Alberto"
"André Paul Guillaume"
"Friends Service Council (The Quakers)"
"American Friends Service Committee (The Quakers)"
"Percy Williams"
"James Batcheller"
"John Howard"
"Wendell Meredith"
"Hermann Joseph"
"Hermann"
"Emily Greene"
"John Raleigh"
"Wolfgang"
"Artturi Ilmari"
"Sir Alexander"
"Ernst Boris"
"Sir Howard Walter"
"Gabriela"
"Cordell"
"Isidor Isaac"
"Otto"
"Joseph"
"Herbert Spencer"
"Johannes Vilhelm"
"Comité international de la Croix Rouge (International Committee of the Red Cross)"
"Otto"
"George"
"Henrik Carl Peter"
"Edward Adelbert"
"Ernest Orlando"
"Adolf Friedrich Johann"
"Leopold"
"Gerhard"
"Frans Eemil"
"Enrico"
"Richard"
"Corneille Jean François"
"Pearl"
"Office international Nansen pour les Réfugiés (Nansen International Office for Refugees)"
"Clinton Joseph"
"George Paget"
"Walter Norman"
"Paul"
"Albert"
"Roger"
"Cecil of Chelwood
"Victor Franz"
"Carl David"
"Petrus (Peter) Josephus Wilhelmus"
"Sir Henry Hallett"
"Otto"
"Eugene Gladstone"
"Carlos"
"James"
"Frédéric"
"Irène"
"Hans"
"Carl"
"Harold Clayton"
"George Hoyt"
"George Richards"
"William Parry"
"Luigi"
"Arthur"
"Erwin"
"Paul Adrien Maurice"
"Thomas Hunt"
"Ivan Alekseyevich"
"Sir Norman"
"Werner Karl"
"Irving"
"Sir Charles Scott"
"Edgar Douglas"
"John"
"Carl"
"Friedrich"
"Otto Heinrich"
"Erik Axel"
"Jane"
"Nicholas Murray"
"Sir Chandrasekhara Venkata"
"Hans"
"Karl"
"Sinclair"
"Lars Olof Jonathan (Nathan)"
"Prince Louis-Victor Pierre Raymond"
"Arthur"
"Hans Karl August Simon"
"Christiaan"
"Sir Frederick Gowland"
"Thomas"
"Frank Billings"
"Owen Willans"
"Adolf Otto Reinhold"
"Charles Jules Henri"
"Sigrid"
"Arthur Holly"
"Charles Thomson Rees"
"Heinrich Otto"
"Julius"
"Henri"
"Ferdinand"
"Ludwig"
"Jean Baptiste"
"The (Theodor)"
"Johannes Andreas Grib"
"Grazia"
"Aristide"
"Gustav"
"James"
"Gustav Ludwig"
"Richard Adolf"
"George Bernard"
"Sir Austen"
"Charles Gates"
"Karl Manne Georg"
"Willem"
"Wladyslaw Stanislaw"
"Robert Andrews"
"Fritz"
"Frederick Grant"
"John James Rickard"
"William Butler"
"Niels Henrik David"
"Francis William"
"Archibald Vivian"
"Otto Fritz"
"Jacinto"
"Fridtjof"
"Albert"
"Frederick"
"Anatole"
"Karl Hjalmar"
"Christian Lous"
"Charles Edouard"
"Walther Hermann"
"Schack August Steenberg"
"Knut Pedersen"
"Léon Victor Auguste"
"Johannes"
"Jules"
"Carl Friedrich Georg"
"Thomas Woodrow"
"Max Karl Ernst Ludwig"
"Fritz"
"Charles Glover"
"Karl Adolph"
"Henrik"
"Comité international de la Croix Rouge (International Committee of the Red Cross)"
"Carl Gustaf Verner"
"Sir William Henry"
"William Lawrence"
"Richard Martin"
"Romain"
"Max"
"Theodore William"
"Robert"
"Heike"
"Alfred"
"Charles Robert"
"Rabindranath"
"Henri"
"Nils Gustaf"
"Victor"
"Paul"
"Alexis"
"Gerhart Johann Robert"
"Elihu"
"Wilhelm"
"Marie"
"Allvar"
"Count Maurice (Mooris) Polidore Marie Bernhard"
"Tobias Michael Carel"
"Alfred Hermann"
"Johannes Diderik"
"Otto"
"Albrecht"
"Paul Johann Ludwig"
"Bureau international permanent de la Paix (Permanent International Peace Bureau)"
"Guglielmo"
"Karl Ferdinand"
"Wilhelm"
"Emil Theodor"
"Selma Ottilia Lovisa"
"Auguste Marie François"
"Paul Henri Benjamin Balluet"
"Gabriel"
"Ernest"
"Ilya Ilyich"
"Paul"
"Rudolf Christoph"
"Klas Pontus"
"Fredrik"
"Albert Abraham"
"Eduard"
"Charles Louis Alphonse"
"Rudyard"
"Ernesto Teodoro"
"Louis"
"Joseph John"
"Henri"
"Camillo"
"Santiago"
"Giosuè"
"Theodore"
"Philipp Eduard Anton"
"Johann Friedrich Wilhelm Adolf"
"Robert"
"Henryk"
"Baroness Bertha Sophie Felicita"
"Lord Rayleigh"
"Sir William"
"Ivan Petrovich"
"Frédéric"
"José"
"Institut de droit international (Institute of International Law)"
"Antoine Henri"
"Pierre"
"Marie"
"Svante August"
"Niels Ryberg"
"Bjørnstjerne Martinus"
"William Randal"
"Hendrik Antoon"
"Pieter"
"Hermann Emil"
"Ronald"
"Christian Matthias Theodor"
"Élie"
"Charles Albert"
"Wilhelm Conrad"
"Jacobus Henricus"
"Emil Adolf"
"Sully"
"Jean Henry"
"Frédéric"
