"surname"
"Xingjian"
"Dae-jung"
"Heckman"
"McFadden"
"'t Hooft"
"Veltman"
"Zewail"
"Blobel"
"Grass"
NA
"Mundell"
"Laughlin"
"Störmer"
"Tsui"
"Kohn"
"Pople"
"Furchgott"
"Ignarro"
"Murad"
"Saramago"
"Hume"
"Trimble"
"Sen"
"Chu"
"Cohen-Tannoudji"
"Phillips"
"Boyer"
"Walker"
"Skou"
"Prusiner"
"Fo"
NA
"Williams"
"Merton"
"Scholes"
"Lee"
"Osheroff"
"Richardson"
"Curl Jr."
"Kroto"
"Smalley"
"Doherty"
"Zinkernagel"
"Szymborska"
"Belo"
"Ramos-Horta"
"Mirrlees"
"Vickrey"
"Perl"
"Reines"
"Crutzen"
"Molina"
"Rowland"
"Lewis"
"Nüsslein-Volhard"
"Wieschaus"
"Heaney"
"Rotblat"
NA
"Lucas Jr."
"Brockhouse"
"Shull"
"Olah"
"Gilman"
"Rodbell"
"Oe"
"Arafat"
"Peres"
"Rabin"
"Harsanyi"
"Nash Jr."
"Selten"
"Hulse"
"Taylor Jr."
"Mullis"
"Smith"
"Roberts"
"Sharp"
"Morrison"
"Mandela"
"de Klerk"
"Fogel"
"North"
"Charpak"
"Marcus"
"Fischer"
"Krebs"
"Walcott"
"Menchú Tum"
"Becker"
"de Gennes"
"Ernst"
"Neher"
"Sakmann"
"Gordimer"
NA
"Coase"
"Friedman"
"Kendall"
"Taylor"
"Corey"
"Murray"
"Thomas"
"Paz"
"Gorbachev"
"Markowitz"
"Miller"
"Sharpe"
"Ramsey"
"Dehmelt"
"Paul"
"Altman"
"Cech"
"Bishop"
"Varmus"
"Cela"
NA
"Haavelmo"
"Lederman"
"Schwartz"
"Steinberger"
"Deisenhofer"
"Huber"
"Michel"
"Black"
"Elion"
"Hitchings"
"Mahfouz"
NA
"Allais"
"Bednorz"
"Müller"
"Cram"
"Lehn"
"Pedersen"
"Tonegawa"
"Brodsky"
"Arias Sánchez"
"Solow"
"Ruska"
"Binnig"
"Rohrer"
"Herschbach"
"Lee"
"Polanyi"
"Cohen"
"Levi-Montalcini"
"Soyinka"
"Wiesel"
"Buchanan Jr."
"von Klitzing"
"Hauptman"
"Karle"
"Brown"
"Goldstein"
"Simon"
NA
"Modigliani"
"Rubbia"
"van der Meer"
"Merrifield"
"Jerne"
"Köhler"
"Milstein"
"Seifert"
"Tutu"
"Stone"
"Chandrasekhar"
"Fowler"
"Taube"
"McClintock"
"Golding"
"Walesa"
"Debreu"
"Wilson"
"Klug"
"Bergström"
"Samuelsson"
"Vane"
"García Márquez"
"Myrdal"
"García Robles"
"Stigler"
"Bloembergen"
"Schawlow"
"Siegbahn"
"Fukui"
"Hoffmann"
"Sperry"
"Hubel"
"Wiesel"
"Canetti"
NA
"Tobin"
"Cronin"
"Fitch"
"Berg"
"Gilbert"
"Sanger"
"Benacerraf"
"Dausset"
"Snell"
"Milosz"
"Pérez Esquivel"
"Klein"
"Glashow"
"Salam"
"Weinberg"
"Brown"
"Wittig"
"Cormack"
"Hounsfield"
"Elytis"
NA
"Schultz"
"Lewis"
"Kapitsa"
"Penzias"
"Wilson"
"Mitchell"
"Arber"
"Nathans"
"Smith"
"Singer"
"al-Sadat"
"Begin"
"Simon"
"Anderson"
"Mott"
"van Vleck"
"Prigogine"
"Guillemin"
"Schally"
"Yalow"
"Aleixandre"
NA
"Ohlin"
"Meade"
"Richter"
"Ting"
"Lipscomb"
"Blumberg"
"Gajdusek"
"Bellow"
"Williams"
"Corrigan"
"Friedman"
"Bohr"
"Mottelson"
"Rainwater"
"Cornforth"
"Prelog"
"Baltimore"
"Dulbecco"
"Temin"
"Montale"
"Sakharov"
"Kantorovich"
"Koopmans"
"Ryle"
"Hewish"
"Flory"
"Claude"
"de Duve"
"Palade"
"Johnson"
"Martinson"
"MacBride"
"Sato"
"Myrdal"
"von Hayek"
"Esaki"
"Giaever"
"Josephson"
"Fischer"
"Wilkinson"
"von Frisch"
"Lorenz"
"Tinbergen"
"White"
"Kissinger"
NA
"Leontief"
"Bardeen"
"Cooper"
"Schrieffer"
"Anfinsen"
"Moore"
"Stein"
"Edelman"
"Porter"
"Böll"
"Hicks"
"Arrow"
"Gabor"
"Herzberg"
"Sutherland
"Neruda"
"Brandt"
"Kuznets"
"Alfvén"
"Néel"
"Leloir"
"Katz"
"von Euler"
"Axelrod"
"Solzhenitsyn"
"Borlaug"
"Samuelson"
"Gell-Mann"
"Barton"
"Hassel"
"Delbrück"
"Hershey"
"Luria"
"Beckett"
NA
"Frisch"
"Tinbergen"
"Alvarez"
"Onsager"
"Holley"
"Khorana"
"Nirenberg"
"Kawabata"
"Cassin"
"Bethe"
"Eigen"
"Norrish"
"Porter"
"Granit"
"Hartline"
"Wald"
"Asturias"
"Kastler"
"Mulliken"
"Rous"
"Huggins"
"Agnon"
"Sachs"
"Tomonaga"
"Schwinger"
"Feynman"
"Woodward"
"Jacob"
"Lwoff"
"Monod"
"Sholokhov"
NA
"Townes"
"Basov"
"Prokhorov"
"Hodgkin"
"Bloch"
"Lynen"
"Sartre"
"King Jr."
"Wigner"
"Goeppert Mayer"
"Jensen"
"Ziegler"
"Natta"
"Eccles"
"Hodgkin"
"Huxley"
"Seferis"
NA
NA
"Landau"
"Perutz"
"Kendrew"
"Crick"
"Watson"
"Wilkins"
"Steinbeck"
"Pauling"
"Hofstadter"
"Mössbauer"
"Calvin"
"von Békésy"
"Andric"
"Hammarskjöld"
"Glaser"
"Libby"
"Burnet"
"Medawar"
"Perse"
"Lutuli"
"Segrè"
"Chamberlain"
"Heyrovsky"
"Ochoa"
"Kornberg"
"Quasimodo"
"Noel-Baker"
"Cherenkov"
"Frank"
"Tamm"
"Sanger"
"Beadle"
"Tatum"
"Lederberg"
"Pasternak"
"Pire"
"Yang"
"Lee"
"Todd"
"Bovet"
"Camus"
"Pearson"
"Shockley"
"Bardeen"
"Brattain"
"Hinshelwood"
"Semenov"
"Cournand"
"Forssmann"
"Richards"
"Jiménez"
"Lamb"
"Kusch"
"du Vigneaud"
"Theorell"
"Laxness"
"Born"
"Bothe"
"Pauling"
"Enders"
"Weller"
"Robbins"
"Hemingway"
NA
"Zernike"
"Staudinger"
"Krebs"
"Lipmann"
"Churchill"
"Marshall"
"Bloch"
"Purcell"
"Martin"
"Synge"
"Waksman"
"Mauriac"
"Schweitzer"
"Cockcroft"
"Walton"
"McMillan"
"Seaborg"
"Theiler"
"Lagerkvist"
"Jouhaux"
"Powell"
"Diels"
"Alder"
"Kendall"
"Reichstein"
"Hench"
"Russell"
"Bunche"
"Yukawa"
"Giauque"
"Hess"
"Moniz"
"Faulkner"
"Boyd Orr of Brechin"
"Blackett"
"Tiselius"
"Müller"
"Eliot"
"Appleton"
"Robinson"
"Cori"
"Cori
"Houssay"
"Gide"
NA
NA
"Bridgman"
"Sumner"
"Northrop"
"Stanley"
"Muller"
"Hesse"
"Balch"
"Mott"
"Pauli"
"Virtanen"
"Fleming"
"Chain"
"Florey"
"Mistral"
"Hull"
"Rabi"
"Hahn"
"Erlanger"
"Gasser"
"Jensen"
NA
"Stern"
"de Hevesy"
"Dam"
"Doisy"
"Lawrence"
"Butenandt"
"Ruzicka"
"Domagk"
"Sillanpää"
"Fermi"
"Kuhn"
"Heymans"
"Buck"
NA
"Davisson"
"Thomson"
"Haworth"
"Karrer"
"von Szent-Györgyi Nagyrápolt"
"Martin du Gard"
 Viscount"
"Hess"
"Anderson"
"Debye"
"Dale"
"Loewi"
"O'Neill"
"Saavedra Lamas"
"Chadwick"
"Joliot"
"Joliot-Curie"
"Spemann"
"von Ossietzky"
"Urey"
"Whipple"
"Minot"
"Murphy"
"Pirandello"
"Henderson"
"Schrödinger"
"Dirac"
"Morgan"
"Bunin"
"Angell (Ralph Lane)"
"Heisenberg"
"Langmuir"
"Sherrington"
"Adrian"
"Galsworthy"
"Bosch"
"Bergius"
"Warburg"
"Karlfeldt"
"Addams"
"Butler"
"Raman"
"Fischer"
"Landsteiner"
"Lewis"
"Söderblom"
"de Broglie"
"Harden"
"von Euler-Chelpin"
"Eijkman"
"Hopkins"
"Mann"
"Kellogg"
"Richardson"
"Windaus"
"Nicolle"
"Undset"
"Compton"
"Wilson"
"Wieland"
"Wagner-Jauregg"
"Bergson"
"Buisson"
"Quidde"
"Perrin"
"Svedberg"
"Fibiger"
"Deledda"
"Briand"
"Stresemann"
"Franck"
"Hertz"
"Zsigmondy"
"Shaw"
"Chamberlain"
"Dawes"
"Siegbahn"
"Einthoven"
"Reymont"
"Millikan"
"Pregl"
"Banting"
"Macleod"
"Yeats"
"Bohr"
"Aston"
"Hill"
"Meyerhof"
"Benavente"
"Nansen"
"Einstein"
"Soddy"
"France"
"Branting"
"Lange"
"Guillaume"
"Nernst"
"Krogh"
"Hamsun"
"Bourgeois"
"Stark"
"Bordet"
"Spitteler"
"Wilson"
"Planck"
"Haber"
"Barkla"
"Gjellerup"
"Pontoppidan"
NA
"von Heidenstam"
"Bragg"
"Bragg"
"Willstätter"
"Rolland"
"von Laue"
"Richards"
"Bárány"
"Kamerlingh Onnes"
"Werner"
"Richet"
"Tagore"
"La Fontaine"
"Dalén"
"Grignard"
"Sabatier"
"Carrel"
"Hauptmann"
"Root"
"Wien"
"Curie
"Gullstrand"
"Maeterlinck"
"Asser"
"Fried"
"van der Waals"
"Wallach"
"Kossel"
"Heyse"
NA
"Marconi"
"Braun"
"Ostwald"
"Kocher"
"Lagerlöf"
"Beernaert"
"d'Estournelles de Constant
"Lippmann"
"Rutherford"
"Mechnikov"
"Ehrlich"
"Eucken"
"Arnoldson"
"Bajer"
"Michelson"
"Buchner"
"Laveran"
"Kipling"
"Moneta"
"Renault"
"Thomson"
"Moissan"
"Golgi"
"Ramón y Cajal"
"Carducci"
"Roosevelt"
"von Lenard"
"von Baeyer"
"Koch"
"Sienkiewicz"
"von Suttner
"(John William Strutt)"
"Ramsay"
"Pavlov"
"Mistral"
"Echegaray y Eizaguirre"
NA
"Becquerel"
"Curie"
"Curie
"Arrhenius"
"Finsen"
"Bjørnson"
"Cremer"
"Lorentz"
"Zeeman"
"Fischer"
"Ross"
"Mommsen"
"Ducommun"
"Gobat"
"Röntgen"
"van 't Hoff"
"von Behring"
"Prudhomme"
"Dunant"
"Passy"
