"firstname"-"surname"
"Martti"-"Ahtisaari"
"Paul"-"Krugman"
"Albert"-"Fert"
"Peter"-"Grünberg"
"Gerhard"-"Ertl"
"Mario R."-"Capecchi"
"Sir Martin J."-"Evans"
"Oliver"-"Smithies"
"Doris"-"Lessing"
"Intergovernmental Panel on Climate Change (IPCC)"-NA
"Albert Arnold (Al)"-"Gore Jr."
"Leonid"-"Hurwicz"
"Eric S."-"Maskin"
"Roger B."-"Myerson"
"John C."-"Mather"
"George F."-"Smoot"
"Roger D."-"Kornberg"
"Andrew Z."-"Fire"
"Craig C."-"Mello"
"Orhan"-"Pamuk"
"Muhammad"-"Yunus"
"Grameen Bank"-NA
"Edmund S."-"Phelps"
"Roy J."-"Glauber"
"John L."-"Hall"
"Theodor W."-"Hänsch"
"Yves"-"Chauvin"
"Robert H."-"Grubbs"
"Richard R."-"Schrock"
"Barry J."-"Marshall"
"J. Robin"-"Warren"
"Harold"-"Pinter"
"International Atomic Energy Agency (IAEA)"-NA
"Mohamed"-"ElBaradei"
"Robert J."-"Aumann"
"Thomas C."-"Schelling"
"David J."-"Gross"
"H. David"-"Politzer"
"Frank"-"Wilczek"
"Aaron"-"Ciechanover"
"Avram"-"Hershko"
"Irwin"-"Rose"
"Richard"-"Axel"
"Linda B."-"Buck"
"Elfriede"-"Jelinek"
"Wangari Muta"-"Maathai"
"Finn E."-"Kydland"
"Edward C."-"Prescott"
"Alexei A."-"Abrikosov"
"Vitaly L."-"Ginzburg"
"Anthony J."-"Leggett"
"Peter"-"Agre"
"Roderick"-"MacKinnon"
"Paul C."-"Lauterbur"
"Sir Peter"-"Mansfield"
"John M."-"Coetzee"
"Shirin"-"Ebadi"
"Robert F."-"Engle III"
"Clive W.J."-"Granger"
"Raymond"-"Davis Jr."
"Masatoshi"-"Koshiba"
"Riccardo"-"Giacconi"
"John B."-"Fenn"
"Koichi"-"Tanaka"
"Kurt"-"Wüthrich"
"Sydney"-"Brenner"
"H. Robert"-"Horvitz"
"John E."-"Sulston"
"Imre"-"Kertész"
"Jimmy"-"Carter"
"Daniel"-"Kahneman"
"Vernon L."-"Smith"
"Eric A."-"Cornell"
"Wolfgang"-"Ketterle"
"Carl E."-"Wieman"
"William S."-"Knowles"
"Ryoji"-"Noyori"
"K. Barry"-"Sharpless"
"Leland H."-"Hartwell"
"Tim"-"Hunt"
"Sir Paul M."-"Nurse"
"Sir Vidiadhar Surajprasad"-"Naipaul"
"United Nations (U.N.)"-NA
"Kofi"-"Annan"
"George A."-"Akerlof"
"A. Michael"-"Spence"
"Joseph E."-"Stiglitz"
"Zhores I."-"Alferov"
"Herbert"-"Kroemer"
"Jack S."-"Kilby"
"Alan J."-"Heeger"
"Alan G."-"MacDiarmid"
"Hideki"-"Shirakawa"
"Arvid"-"Carlsson"
"Paul"-"Greengard"
"Eric R."-"Kandel"
"Gao"-"Xingjian"
"Kim"-"Dae-jung"
"James J."-"Heckman"
"Daniel L."-"McFadden"
"Gerardus"-"'t Hooft"
"Martinus J.G."-"Veltman"
"Ahmed H."-"Zewail"
"Günter"-"Blobel"
"Günter"-"Grass"
"Médecins Sans Frontières"-NA
"Robert A."-"Mundell"
"Robert B."-"Laughlin"
"Horst L."-"Störmer"
"Daniel C."-"Tsui"
"Walter"-"Kohn"
"John A."-"Pople"
"Robert F."-"Furchgott"
"Louis J."-"Ignarro"
"Ferid"-"Murad"
"José"-"Saramago"
"John"-"Hume"
"David"-"Trimble"
"Amartya"-"Sen"
"Steven"-"Chu"
"Claude"-"Cohen-Tannoudji"
"William D."-"Phillips"
"Paul D."-"Boyer"
"John E."-"Walker"
"Jens C."-"Skou"
"Stanley B."-"Prusiner"
"Dario"-"Fo"
"International Campaign to Ban Landmines (ICBL)"-NA
"Jody"-"Williams"
"Robert C."-"Merton"
"Myron S."-"Scholes"
"David M."-"Lee"
"Douglas D."-"Osheroff"
"Robert C."-"Richardson"
"Robert F."-"Curl Jr."
"Sir Harold W."-"Kroto"
"Richard E."-"Smalley"
"Peter C."-"Doherty"
"Rolf M."-"Zinkernagel"
"Wislawa"-"Szymborska"
"Carlos Filipe Ximenes"-"Belo"
"José"-"Ramos-Horta"
"James A."-"Mirrlees"
"William"-"Vickrey"
"Martin L."-"Perl"
"Frederick"-"Reines"
"Paul J."-"Crutzen"
"Mario J."-"Molina"
"F. Sherwood"-"Rowland"
"Edward B."-"Lewis"
"Christiane"-"Nüsslein-Volhard"
"Eric F."-"Wieschaus"
"Seamus"-"Heaney"
"Joseph"-"Rotblat"
"Pugwash Conferences on Science and World Affairs"-NA
"Robert E."-"Lucas Jr."
"Bertram N."-"Brockhouse"
"Clifford G."-"Shull"
"George A."-"Olah"
"Alfred G."-"Gilman"
"Martin"-"Rodbell"
"Kenzaburo"-"Oe"
"Yasser"-"Arafat"
"Shimon"-"Peres"
"Yitzhak"-"Rabin"
"John C."-"Harsanyi"
"John F."-"Nash Jr."
"Reinhard"-"Selten"
"Russell A."-"Hulse"
"Joseph H."-"Taylor Jr."
"Kary B."-"Mullis"
"Michael"-"Smith"
"Richard J."-"Roberts"
"Phillip A."-"Sharp"
"Toni"-"Morrison"
"Nelson"-"Mandela"
"Frederik Willem"-"de Klerk"
"Robert W."-"Fogel"
"Douglass C."-"North"
"Georges"-"Charpak"
"Rudolph A."-"Marcus"
"Edmond H."-"Fischer"
"Edwin G."-"Krebs"
"Derek"-"Walcott"
"Rigoberta"-"Menchú Tum"
"Gary S."-"Becker"
"Pierre-Gilles"-"de Gennes"
"Richard R."-"Ernst"
"Erwin"-"Neher"
"Bert"-"Sakmann"
"Nadine"-"Gordimer"
"Aung San Suu Kyi"-NA
"Ronald H."-"Coase"
"Jerome I."-"Friedman"
"Henry W."-"Kendall"
"Richard E."-"Taylor"
"Elias James"-"Corey"
"Joseph E."-"Murray"
"E. Donnall"-"Thomas"
"Octavio"-"Paz"
"Mikhail Sergeyevich"-"Gorbachev"
"Harry M."-"Markowitz"
"Merton H."-"Miller"
"William F."-"Sharpe"
"Norman F."-"Ramsey"
"Hans G."-"Dehmelt"
"Wolfgang"-"Paul"
"Sidney"-"Altman"
"Thomas R."-"Cech"
"J. Michael"-"Bishop"
"Harold E."-"Varmus"
"Camilo José"-"Cela"
"The 14th Dalai Lama (Tenzin Gyatso)"-NA
"Trygve"-"Haavelmo"
"Leon M."-"Lederman"
"Melvin"-"Schwartz"
"Jack"-"Steinberger"
"Johann"-"Deisenhofer"
"Robert"-"Huber"
"Hartmut"-"Michel"
"Sir James W."-"Black"
"Gertrude B."-"Elion"
"George H."-"Hitchings"
"Naguib"-"Mahfouz"
"United Nations Peacekeeping Forces"-NA
"Maurice"-"Allais"
"J. Georg"-"Bednorz"
"K. Alexander"-"Müller"
"Donald J."-"Cram"
"Jean-Marie"-"Lehn"
"Charles J."-"Pedersen"
"Susumu"-"Tonegawa"
"Joseph"-"Brodsky"
"Oscar"-"Arias Sánchez"
"Robert M."-"Solow"
"Ernst"-"Ruska"
"Gerd"-"Binnig"
"Heinrich"-"Rohrer"
"Dudley R."-"Herschbach"
"Yuan T."-"Lee"
"John C."-"Polanyi"
"Stanley"-"Cohen"
"Rita"-"Levi-Montalcini"
"Wole"-"Soyinka"
"Elie"-"Wiesel"
"James M."-"Buchanan Jr."
"Klaus"-"von Klitzing"
"Herbert A."-"Hauptman"
"Jerome"-"Karle"
"Michael S."-"Brown"
"Joseph L."-"Goldstein"
"Claude"-"Simon"
"International Physicians for the Prevention of Nuclear War"-NA
"Franco"-"Modigliani"
"Carlo"-"Rubbia"
"Simon"-"van der Meer"
"Robert Bruce"-"Merrifield"
"Niels K."-"Jerne"
"Georges J.F."-"Köhler"
"César"-"Milstein"
"Jaroslav"-"Seifert"
"Desmond Mpilo"-"Tutu"
"Richard"-"Stone"
"Subramanyan"-"Chandrasekhar"
"William Alfred"-"Fowler"
"Henry"-"Taube"
"Barbara"-"McClintock"
"William"-"Golding"
"Lech"-"Walesa"
"Gerard"-"Debreu"
"Kenneth G."-"Wilson"
"Aaron"-"Klug"
"Sune K."-"Bergström"
"Bengt I."-"Samuelsson"
"John R."-"Vane"
"Gabriel"-"García Márquez"
"Alva"-"Myrdal"
"Alfonso"-"García Robles"
"George J."-"Stigler"
"Nicolaas"-"Bloembergen"
"Arthur Leonard"-"Schawlow"
"Kai M."-"Siegbahn"
"Kenichi"-"Fukui"
"Roald"-"Hoffmann"
"Roger W."-"Sperry"
"David H."-"Hubel"
"Torsten N."-"Wiesel"
"Elias"-"Canetti"
"Office of the United Nations High Commissioner for Refugees (UNHCR)"-NA
"James"-"Tobin"
"James Watson"-"Cronin"
"Val Logsdon"-"Fitch"
"Paul"-"Berg"
"Walter"-"Gilbert"
"Frederick"-"Sanger"
"Baruj"-"Benacerraf"
"Jean"-"Dausset"
"George D."-"Snell"
"Czeslaw"-"Milosz"
"Adolfo"-"Pérez Esquivel"
"Lawrence R."-"Klein"
"Sheldon Lee"-"Glashow"
"Abdus"-"Salam"
"Steven"-"Weinberg"
"Herbert C."-"Brown"
"Georg"-"Wittig"
"Allan M."-"Cormack"
"Godfrey N."-"Hounsfield"
"Odysseus"-"Elytis"
"Mother Teresa"-NA
"Theodore W."-"Schultz"
"Sir Arthur"-"Lewis"
"Pyotr Leonidovich"-"Kapitsa"
"Arno Allan"-"Penzias"
"Robert Woodrow"-"Wilson"
"Peter D."-"Mitchell"
"Werner"-"Arber"
"Daniel"-"Nathans"
"Hamilton O."-"Smith"
"Isaac Bashevis"-"Singer"
"Mohamed Anwar"-"al-Sadat"
"Menachem"-"Begin"
"Herbert A."-"Simon"
"Philip Warren"-"Anderson"
"Sir Nevill Francis"-"Mott"
"John Hasbrouck"-"van Vleck"
"Ilya"-"Prigogine"
"Roger"-"Guillemin"
"Andrew V."-"Schally"
"Rosalyn"-"Yalow"
"Vicente"-"Aleixandre"
"Amnesty International"-NA
"Bertil"-"Ohlin"
"James E."-"Meade"
"Burton"-"Richter"
"Samuel Chao Chung"-"Ting"
"William N."-"Lipscomb"
"Baruch S."-"Blumberg"
"D. Carleton"-"Gajdusek"
"Saul"-"Bellow"
"Betty"-"Williams"
"Mairead"-"Corrigan"
"Milton"-"Friedman"
"Aage Niels"-"Bohr"
"Ben Roy"-"Mottelson"
"Leo James"-"Rainwater"
"John Warcup"-"Cornforth"
"Vladimir"-"Prelog"
"David"-"Baltimore"
"Renato"-"Dulbecco"
"Howard Martin"-"Temin"
"Eugenio"-"Montale"
"Andrei Dmitrievich"-"Sakharov"
"Leonid Vitaliyevich"-"Kantorovich"
"Tjalling C."-"Koopmans"
"Sir Martin"-"Ryle"
"Antony"-"Hewish"
"Paul J."-"Flory"
"Albert"-"Claude"
"Christian"-"de Duve"
"George E."-"Palade"
"Eyvind"-"Johnson"
"Harry"-"Martinson"
"Seán"-"MacBride"
"Eisaku"-"Sato"
"Gunnar"-"Myrdal"
"Friedrich August"-"von Hayek"
"Leo"-"Esaki"
"Ivar"-"Giaever"
"Brian David"-"Josephson"
"Ernst Otto"-"Fischer"
"Geoffrey"-"Wilkinson"
"Karl"-"von Frisch"
"Konrad"-"Lorenz"
"Nikolaas"-"Tinbergen"
"Patrick"-"White"
"Henry A."-"Kissinger"
"Le Duc Tho"-NA
"Wassily"-"Leontief"
"John"-"Bardeen"
"Leon Neil"-"Cooper"
"John Robert"-"Schrieffer"
"Christian B."-"Anfinsen"
"Stanford"-"Moore"
"William H."-"Stein"
"Gerald M."-"Edelman"
"Rodney R."-"Porter"
"Heinrich"-"Böll"
"John R."-"Hicks"
"Kenneth J."-"Arrow"
"Dennis"-"Gabor"
"Gerhard"-"Herzberg"
"Earl W."-"Sutherland
"Pablo"-"Neruda"
"Willy"-"Brandt"
"Simon"-"Kuznets"
"Hannes Olof Gösta"-"Alfvén"
"Louis Eugène Félix"-"Néel"
"Luis F."-"Leloir"
"Sir Bernard"-"Katz"
"Ulf"-"von Euler"
"Julius"-"Axelrod"
"Aleksandr Isayevich"-"Solzhenitsyn"
"Norman E."-"Borlaug"
"Paul A."-"Samuelson"
"Murray"-"Gell-Mann"
"Derek H. R."-"Barton"
"Odd"-"Hassel"
"Max"-"Delbrück"
"Alfred D."-"Hershey"
"Salvador E."-"Luria"
"Samuel"-"Beckett"
"International Labour Organization (I.L.O.)"-NA
"Ragnar"-"Frisch"
"Jan"-"Tinbergen"
"Luis Walter"-"Alvarez"
"Lars"-"Onsager"
"Robert W."-"Holley"
"Har Gobind"-"Khorana"
"Marshall W."-"Nirenberg"
"Yasunari"-"Kawabata"
"René"-"Cassin"
"Hans Albrecht"-"Bethe"
"Manfred"-"Eigen"
"Ronald George Wreyford"-"Norrish"
"George"-"Porter"
"Ragnar"-"Granit"
"Haldan Keffer"-"Hartline"
"George"-"Wald"
"Miguel Angel"-"Asturias"
"Alfred"-"Kastler"
"Robert S."-"Mulliken"
"Peyton"-"Rous"
"Charles Brenton"-"Huggins"
"Shmuel Yosef"-"Agnon"
"Nelly"-"Sachs"
"Sin-Itiro"-"Tomonaga"
"Julian"-"Schwinger"
"Richard P."-"Feynman"
"Robert Burns"-"Woodward"
"François"-"Jacob"
"André"-"Lwoff"
"Jacques"-"Monod"
"Mikhail Aleksandrovich"-"Sholokhov"
"United Nations Children's Fund (UNICEF)"-NA
"Charles Hard"-"Townes"
"Nicolay Gennadiyevich"-"Basov"
"Aleksandr Mikhailovich"-"Prokhorov"
"Dorothy Crowfoot"-"Hodgkin"
"Konrad"-"Bloch"
"Feodor"-"Lynen"
"Jean-Paul"-"Sartre"
"Martin Luther"-"King Jr."
"Eugene Paul"-"Wigner"
"Maria"-"Goeppert Mayer"
"J. Hans D."-"Jensen"
"Karl"-"Ziegler"
"Giulio"-"Natta"
"Sir John Carew"-"Eccles"
"Alan Lloyd"-"Hodgkin"
"Andrew Fielding"-"Huxley"
"Giorgos"-"Seferis"
"Comité international de la Croix Rouge (International Committee of the Red Cross)"-NA
"Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies)"-NA
"Lev Davidovich"-"Landau"
"Max Ferdinand"-"Perutz"
"John Cowdery"-"Kendrew"
"Francis Harry Compton"-"Crick"
"James Dewey"-"Watson"
"Maurice Hugh Frederick"-"Wilkins"
"John"-"Steinbeck"
"Linus Carl"-"Pauling"
"Robert"-"Hofstadter"
"Rudolf Ludwig"-"Mössbauer"
"Melvin"-"Calvin"
"Georg"-"von Békésy"
"Ivo"-"Andric"
"Dag Hjalmar Agne Carl"-"Hammarskjöld"
"Donald Arthur"-"Glaser"
"Willard Frank"-"Libby"
"Sir Frank Macfarlane"-"Burnet"
"Peter Brian"-"Medawar"
"Saint-John"-"Perse"
"Albert John"-"Lutuli"
"Emilio Gino"-"Segrè"
"Owen"-"Chamberlain"
"Jaroslav"-"Heyrovsky"
"Severo"-"Ochoa"
"Arthur"-"Kornberg"
"Salvatore"-"Quasimodo"
"Philip J."-"Noel-Baker"
"Pavel Alekseyevich"-"Cherenkov"
"Il´ja Mikhailovich"-"Frank"
"Igor Yevgenyevich"-"Tamm"
"Frederick"-"Sanger"
"George Wells"-"Beadle"
"Edward Lawrie"-"Tatum"
"Joshua"-"Lederberg"
"Boris Leonidovich"-"Pasternak"
"Georges"-"Pire"
"Chen Ning"-"Yang"
"Tsung-Dao (T.D.)"-"Lee"
"Lord (Alexander R.)"-"Todd"
"Daniel"-"Bovet"
"Albert"-"Camus"
"Lester Bowles"-"Pearson"
"William Bradford"-"Shockley"
"John"-"Bardeen"
"Walter Houser"-"Brattain"
"Sir Cyril Norman"-"Hinshelwood"
"Nikolay Nikolaevich"-"Semenov"
"André Frédéric"-"Cournand"
"Werner"-"Forssmann"
"Dickinson W."-"Richards"
"Juan Ramón"-"Jiménez"
"Willis Eugene"-"Lamb"
"Polykarp"-"Kusch"
"Vincent"-"du Vigneaud"
"Axel Hugo Theodor"-"Theorell"
"Halldór Kiljan"-"Laxness"
"Max"-"Born"
"Walther"-"Bothe"
"Linus Carl"-"Pauling"
"John Franklin"-"Enders"
"Thomas Huckle"-"Weller"
"Frederick Chapman"-"Robbins"
"Ernest Miller"-"Hemingway"
"Office of the United Nations High Commissioner for Refugees (UNHCR)"-NA
"Frits"-"Zernike"
"Hermann"-"Staudinger"
"Hans Adolf"-"Krebs"
"Fritz Albert"-"Lipmann"
"Sir Winston Leonard Spencer"-"Churchill"
"George Catlett"-"Marshall"
"Felix"-"Bloch"
"Edward Mills"-"Purcell"
"Archer John Porter"-"Martin"
"Richard Laurence Millington"-"Synge"
"Selman Abraham"-"Waksman"
"François"-"Mauriac"
"Albert"-"Schweitzer"
"Sir John Douglas"-"Cockcroft"
"Ernest Thomas Sinton"-"Walton"
"Edwin Mattison"-"McMillan"
"Glenn Theodore"-"Seaborg"
"Max"-"Theiler"
"Pär Fabian"-"Lagerkvist"
"Léon"-"Jouhaux"
"Cecil Frank"-"Powell"
"Otto Paul Hermann"-"Diels"
"Kurt"-"Alder"
"Edward Calvin"-"Kendall"
"Tadeus"-"Reichstein"
"Philip Showalter"-"Hench"
"Earl (Bertrand Arthur William)"-"Russell"
"Ralph"-"Bunche"
"Hideki"-"Yukawa"
"William Francis"-"Giauque"
"Walter Rudolf"-"Hess"
"Antonio Caetano de Abreu Freire Egas"-"Moniz"
"William"-"Faulkner"
"Lord (John)"-"Boyd Orr of Brechin"
"Patrick Maynard Stuart"-"Blackett"
"Arne Wilhelm Kaurin"-"Tiselius"
"Paul Hermann"-"Müller"
"Thomas Stearns"-"Eliot"
"Sir Edward Victor"-"Appleton"
"Sir Robert"-"Robinson"
"Carl Ferdinand"-"Cori"
"Gerty Theresa"-"Cori
"Bernardo Alberto"-"Houssay"
"André Paul Guillaume"-"Gide"
"Friends Service Council (The Quakers)"-NA
"American Friends Service Committee (The Quakers)"-NA
"Percy Williams"-"Bridgman"
"James Batcheller"-"Sumner"
"John Howard"-"Northrop"
"Wendell Meredith"-"Stanley"
"Hermann Joseph"-"Muller"
"Hermann"-"Hesse"
"Emily Greene"-"Balch"
"John Raleigh"-"Mott"
"Wolfgang"-"Pauli"
"Artturi Ilmari"-"Virtanen"
"Sir Alexander"-"Fleming"
"Ernst Boris"-"Chain"
"Sir Howard Walter"-"Florey"
"Gabriela"-"Mistral"
"Cordell"-"Hull"
"Isidor Isaac"-"Rabi"
"Otto"-"Hahn"
"Joseph"-"Erlanger"
"Herbert Spencer"-"Gasser"
"Johannes Vilhelm"-"Jensen"
"Comité international de la Croix Rouge (International Committee of the Red Cross)"-NA
"Otto"-"Stern"
"George"-"de Hevesy"
"Henrik Carl Peter"-"Dam"
"Edward Adelbert"-"Doisy"
"Ernest Orlando"-"Lawrence"
"Adolf Friedrich Johann"-"Butenandt"
"Leopold"-"Ruzicka"
"Gerhard"-"Domagk"
"Frans Eemil"-"Sillanpää"
"Enrico"-"Fermi"
"Richard"-"Kuhn"
"Corneille Jean François"-"Heymans"
"Pearl"-"Buck"
"Office international Nansen pour les Réfugiés (Nansen International Office for Refugees)"-NA
"Clinton Joseph"-"Davisson"
"George Paget"-"Thomson"
"Walter Norman"-"Haworth"
"Paul"-"Karrer"
"Albert"-"von Szent-Györgyi Nagyrápolt"
"Roger"-"Martin du Gard"
"Cecil of Chelwood- Viscount"
"Victor Franz"-"Hess"
"Carl David"-"Anderson"
"Petrus (Peter) Josephus Wilhelmus"-"Debye"
"Sir Henry Hallett"-"Dale"
"Otto"-"Loewi"
"Eugene Gladstone"-"O'Neill"
"Carlos"-"Saavedra Lamas"
"James"-"Chadwick"
"Frédéric"-"Joliot"
"Irène"-"Joliot-Curie"
"Hans"-"Spemann"
"Carl"-"von Ossietzky"
"Harold Clayton"-"Urey"
"George Hoyt"-"Whipple"
"George Richards"-"Minot"
"William Parry"-"Murphy"
"Luigi"-"Pirandello"
"Arthur"-"Henderson"
"Erwin"-"Schrödinger"
"Paul Adrien Maurice"-"Dirac"
"Thomas Hunt"-"Morgan"
"Ivan Alekseyevich"-"Bunin"
"Sir Norman"-"Angell (Ralph Lane)"
"Werner Karl"-"Heisenberg"
"Irving"-"Langmuir"
"Sir Charles Scott"-"Sherrington"
"Edgar Douglas"-"Adrian"
"John"-"Galsworthy"
"Carl"-"Bosch"
"Friedrich"-"Bergius"
"Otto Heinrich"-"Warburg"
"Erik Axel"-"Karlfeldt"
"Jane"-"Addams"
"Nicholas Murray"-"Butler"
"Sir Chandrasekhara Venkata"-"Raman"
"Hans"-"Fischer"
"Karl"-"Landsteiner"
"Sinclair"-"Lewis"
"Lars Olof Jonathan (Nathan)"-"Söderblom"
"Prince Louis-Victor Pierre Raymond"-"de Broglie"
"Arthur"-"Harden"
"Hans Karl August Simon"-"von Euler-Chelpin"
"Christiaan"-"Eijkman"
"Sir Frederick Gowland"-"Hopkins"
"Thomas"-"Mann"
"Frank Billings"-"Kellogg"
"Owen Willans"-"Richardson"
"Adolf Otto Reinhold"-"Windaus"
"Charles Jules Henri"-"Nicolle"
"Sigrid"-"Undset"
"Arthur Holly"-"Compton"
"Charles Thomson Rees"-"Wilson"
"Heinrich Otto"-"Wieland"
"Julius"-"Wagner-Jauregg"
"Henri"-"Bergson"
"Ferdinand"-"Buisson"
"Ludwig"-"Quidde"
"Jean Baptiste"-"Perrin"
"The (Theodor)"-"Svedberg"
"Johannes Andreas Grib"-"Fibiger"
"Grazia"-"Deledda"
"Aristide"-"Briand"
"Gustav"-"Stresemann"
"James"-"Franck"
"Gustav Ludwig"-"Hertz"
"Richard Adolf"-"Zsigmondy"
"George Bernard"-"Shaw"
"Sir Austen"-"Chamberlain"
"Charles Gates"-"Dawes"
"Karl Manne Georg"-"Siegbahn"
"Willem"-"Einthoven"
"Wladyslaw Stanislaw"-"Reymont"
"Robert Andrews"-"Millikan"
"Fritz"-"Pregl"
"Frederick Grant"-"Banting"
"John James Rickard"-"Macleod"
"William Butler"-"Yeats"
"Niels Henrik David"-"Bohr"
"Francis William"-"Aston"
"Archibald Vivian"-"Hill"
"Otto Fritz"-"Meyerhof"
"Jacinto"-"Benavente"
"Fridtjof"-"Nansen"
"Albert"-"Einstein"
"Frederick"-"Soddy"
"Anatole"-"France"
"Karl Hjalmar"-"Branting"
"Christian Lous"-"Lange"
"Charles Edouard"-"Guillaume"
"Walther Hermann"-"Nernst"
"Schack August Steenberg"-"Krogh"
"Knut Pedersen"-"Hamsun"
"Léon Victor Auguste"-"Bourgeois"
"Johannes"-"Stark"
"Jules"-"Bordet"
"Carl Friedrich Georg"-"Spitteler"
"Thomas Woodrow"-"Wilson"
"Max Karl Ernst Ludwig"-"Planck"
"Fritz"-"Haber"
"Charles Glover"-"Barkla"
"Karl Adolph"-"Gjellerup"
"Henrik"-"Pontoppidan"
"Comité international de la Croix Rouge (International Committee of the Red Cross)"-NA
"Carl Gustaf Verner"-"von Heidenstam"
"Sir William Henry"-"Bragg"
"William Lawrence"-"Bragg"
"Richard Martin"-"Willstätter"
"Romain"-"Rolland"
"Max"-"von Laue"
"Theodore William"-"Richards"
"Robert"-"Bárány"
"Heike"-"Kamerlingh Onnes"
"Alfred"-"Werner"
"Charles Robert"-"Richet"
"Rabindranath"-"Tagore"
"Henri"-"La Fontaine"
"Nils Gustaf"-"Dalén"
"Victor"-"Grignard"
"Paul"-"Sabatier"
"Alexis"-"Carrel"
"Gerhart Johann Robert"-"Hauptmann"
"Elihu"-"Root"
"Wilhelm"-"Wien"
"Marie"-"Curie
"Allvar"-"Gullstrand"
"Count Maurice (Mooris) Polidore Marie Bernhard"-"Maeterlinck"
"Tobias Michael Carel"-"Asser"
"Alfred Hermann"-"Fried"
"Johannes Diderik"-"van der Waals"
"Otto"-"Wallach"
"Albrecht"-"Kossel"
"Paul Johann Ludwig"-"Heyse"
"Bureau international permanent de la Paix (Permanent International Peace Bureau)"-NA
"Guglielmo"-"Marconi"
"Karl Ferdinand"-"Braun"
"Wilhelm"-"Ostwald"
"Emil Theodor"-"Kocher"
"Selma Ottilia Lovisa"-"Lagerlöf"
